observation,workflow,ingest_demand,duration,channels,workflow_parallelism,demand,baseline,workflow_type,graph_type,data,data_distribution,nodes,dir,telescope,timestep,method,time
hpso13,workflows/4237565600957100327_2025-07-17_23-50-16,30,28800,65536,796,197,35000,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,standard,1,/scratch/rbunney/maximal/all,mid-adjusted,1,heft,10511
hpso13,workflows/4237565600957100327_2025-07-17_20-00-58,30,28800,65536,796,197,35000,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,False,standard,1,/scratch/rbunney/maximal/all,mid-adjusted,1,heft,7933
hpso22,workflows/-7569543611921287442_2025-07-18_01-21-56,81,28800,65536,796,197,150000,['prototype'],ICAL.DPrepA.DPrepB,True,edges,1,/scratch/rbunney/maximal/all,mid-adjusted,1,heft,273398
hpso32,workflows/-1023490035436752262_2025-07-18_03-39-56,17,7920,65536,796,197,20000,['prototype'],ICAL.DPrepB,True,edges,1,/scratch/rbunney/maximal/all,mid-adjusted,1,heft,1233
hpso15,workflows/-4202730146539453374_2025-07-18_02-07-47,12,15840,65536,796,197,15000,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,edges,1,/scratch/rbunney/maximal/all,mid-adjusted,1,heft,1075
hpso13,workflows/4237565600957100327_2025-07-18_02-53-51,30,28800,65536,796,197,35000,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,True,edges,1,/scratch/rbunney/maximal/all,mid-adjusted,1,heft,13991
hpso02b,workflows/2815202787081565900_2025-07-17_11-34-14,59,18000,32768,896,512,65000,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,False,standard,1,/scratch/rbunney/maximal/all,low-adjusted,1,heft,27455
hpso01,workflows/6369708106528349720_2025-07-17_13-45-50,59,18000,32768,896,512,65000,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,standard,1,/scratch/rbunney/maximal/all,low-adjusted,1,heft,116561
hpso02a,workflows/7011845015307341041_2025-07-17_09-21-42,59,18000,32768,896,512,65000,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,False,standard,1,/scratch/rbunney/maximal/all,low-adjusted,1,heft,27455
hpso01,workflows/6369708106528349720_2025-07-17_10-28-32,59,18000,32768,896,512,65000,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,False,standard,1,/scratch/rbunney/maximal/all,low-adjusted,1,heft,33830
hpso02a,workflows/7011845015307341041_2025-07-17_18-09-14,59,18000,32768,896,512,65000,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,1,/scratch/rbunney/maximal/all,low-adjusted,1,heft,79989
hpso02a,workflows/7011845015307341041_2025-07-17_12-40-00,59,18000,32768,896,512,65000,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,standard,1,/scratch/rbunney/maximal/all,low-adjusted,1,heft,64868
hpso01,workflows/6369708106528349720_2025-07-17_15-57-16,59,18000,32768,896,512,65000,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,1,/scratch/rbunney/maximal/all,low-adjusted,1,heft,131704
hpso02b,workflows/2815202787081565900_2025-07-17_17-03-27,59,18000,32768,896,512,65000,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,1,/scratch/rbunney/maximal/all,low-adjusted,1,heft,79989
hpso02b,workflows/2815202787081565900_2025-07-17_14-51-25,59,18000,32768,896,512,65000,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,standard,1,/scratch/rbunney/maximal/all,low-adjusted,1,heft,64868
